26.1,-98.6_Unnamed Road, Tamaulipas, Mexico
40.1,-120.6_Unnamed Road, Taylorsville, CA 95983, USA
40.1,-119.6_Surprise Valley Rd, Reno, NV 89510, USA
40.1,-118.6_Frontage Rd, Lovelock, NV 89419, USA
40.1,-117.6_Unnamed Road, Lovelock, NV 89419, USA
40.1,-116.6_Unnamed Road, Nevada, USA
40.1,-115.6_Unnamed Road, Nevada, USA
40.1,-114.6_Unnamed Road, Ely, NV 89301, USA
40.1,-113.6_Unnamed Road, Utah, USA
40.1,-112.6_Unnamed Road, Dugway, UT 84022, USA
40.1,-111.6_2332 E 7200 S, Spanish Fork, UT 84660, USA
40.1,-110.6_13095 A1700S, Duchesne, UT 84021, USA
40.1,-109.6_Unnamed Road, Randlett, UT 84063, USA
40.1,-108.6_Unnamed Road, Meeker, CO 81641, USA
40.1,-107.6_Unnamed Road, Meeker, CO 81641, USA
40.1,-106.6_Forest Rd 243, Kremmling, CO 80459, USA
40.1,-105.6_Middle Saint Vrain Road, Lyons, CO 80540, USA
40.1,-104.6_24000-24772 Co Rd 16, Hudson, CO 80642, USA
40.1,-103.6_6351-6999 CO-71, Brush, CO 80723, USA
40.1,-102.6_11238-11378 County Rd 37, Yuma, CO 80759, USA
40.1,-101.6_Rd 709, Benkelman, NE 69021, USA
40.1,-100.6_803 Blue Star Memorial Hwy, McCook, NE 69001, USA
40.1,-99.6_B Rd, Stamford, NE 68977, USA
40.1,-98.6_Rd 800, Red Cloud, NE 68970, USA
40.1,-97.6_Rd H, Hebron, NE 68370, USA
40.1,-96.6_8678 E Plum Rd, Wymore, NE 68466, USA
40.1,-95.6_65247 709 Rd, Falls City, NE 68355, USA
40.1,-94.6_Holeman Rd, King City, MO 64463, USA
40.1,-93.6_Drake NW Ln, Trenton, MO 64683, USA
40.1,-92.6_23459 Crest Trail, Kirksville, MO 63501, USA
40.1,-91.6_28600-28998 205th St, Canton, MO 63435, USA
40.1,-90.6_US-24, Rushville, IL 62681, USA
40.1,-89.6_30896 Greenview Middletown Black Top, Middletown, IL 62666, USA
40.1,-88.6_2000 E Washington St, Monticello, IL 61856, USA
40.1,-87.6_Back Bone Rd, Danville, IL 61834, USA
40.1,-86.6_4001-4265 N 700 W, Thorntown, IN 46071, USA
40.1,-85.6_318 Timber Ln, Anderson, IN 46017, USA
40.1,-84.6_5525-5549 US-36, Greenville, OH 45331, USA
40.1,-83.6_7815 Stringtown Rd, Mechanicsburg, OH 43044, USA
40.1,-82.6_5779 Lobdell Rd, Alexandria, OH 43001, USA
40.1,-81.6_68559 8th Street Rd, Cambridge, OH 43725, USA
40.1,-80.6_912 Dixons Run Rd, Triadelphia, WV 26059, USA
40.1,-79.6_1200-1300 Gurley Dr, Scottdale, PA 15683, USA
40.1,-78.6_2000-2096 State Rte 4003, Schellsburg, PA 15559, USA
40.1,-77.6_6040-6742 McClays Mill Rd, Newburg, PA 17240, USA
40.1,-76.6_1635 Hauenstein Rd, Elizabethtown, PA 17022, USA
40.1,-75.6_1412 Clover Mill Rd, Chester Springs, PA 19425, USA
40.1,-74.6_2-50 Harrison Rd, Allentown, NJ 08501, USA
41.1,-124.6_f3winbf,erg,CA 11111,USA
41.1,-123.6_Hostler B Rd, Hoopa, CA 95546, USA
41.1,-122.6_Unnamed Road, Trinity Center, CA 96091, USA
41.1,-121.6_Unnamed Road, Fall River Mills, CA 96028, USA
41.1,-120.6_Unnamed Road, Madeline, CA 96119, USA
41.1,-119.6_Unnamed Road, Gerlach, NV 89412, USA
41.1,-118.6_Unnamed Road, Winnemucca, NV 89445, USA
41.1,-117.6_5145 Schreiner Dr, Winnemucca, NV 89445, USA
41.1,-116.6_Unnamed Road, Nevada, USA
41.1,-115.6_Rota Rd, Elko, NV 89801, USA
41.1,-114.6_Unnamed Road, Wells, NV 89835, USA
41.1,-113.6_Crater Island Rd, Wendover, UT 84083, USA
41.1,-112.6_SE Promontory Rd, Corinne, UT 84307, USA
41.1,-111.6_Dry Creek Rd, Morgan, UT 84050, USA
41.1,-110.6_7382 Co Rd 271, Robertson, WY 82944, USA
41.1,-109.6_WY-530, McKinnon, WY 82938, USA
41.1,-108.6_Unnamed Road, Wyoming, USA
41.1,-107.6_Unnamed Road, Baggs, WY 82321, USA
41.1,-106.6_Unnamed Road, Encampment, WY 82325, USA
41.1,-105.6_453-519 Sportsman Lake Rd, Laramie, WY 82070, USA
41.1,-104.6_3587 Primrose Trail, Cheyenne, WY 82007, USA
41.1,-103.6_Co Rd 47, Kimball, NE 69145, USA
41.1,-102.6_Rd 16, Chappell, NE 69129, USA
41.1,-101.6_750-798 Rd East G S, Ogallala, NE 69153, USA
41.1,-100.6_Lincoln Hwy, Maxwell, NE 69151, USA
41.1,-99.6_Unnamed Road, Broken Bow, NE 68822, USA
41.1,-98.6_Unnamed Road, Dannebrog, NE 68831, USA
41.1,-97.6_12456 Center Rd, Stromsburg, NE 68666, USA
41.1,-96.6_663 Co Rd 16, Wahoo, NE 68066, USA
41.1,-95.6_54466 307th St, Malvern, IA 51551, USA
41.1,-94.6_1400-1408 Quince Ave, Prescott, IA 50859, USA
41.1,-93.6_3187 Norman St, Woodburn, IA 50275, USA
41.1,-92.6_22817-23065 Power Plant Rd, Albia, IA 52531, USA
41.1,-91.6_1430 Graham Ave, Mt Pleasant, IA 52641, USA
41.1,-90.6_257 250th St, Alexis, IL 61412, USA
41.1,-89.6_County Rd 250 E, Bradford, IL 61421, USA
41.1,-88.6_32456-32672 N 1700 E Rd, Ransom, IL 60470, USA
41.1,-87.6_2095 S 14000E Rd, Momence, IL 60954, USA
41.1,-86.6_2886 US-35, Winamac, IN 46996, USA
41.1,-85.6_5570 IN-205, South Whitley, IN 46787, USA
41.1,-84.6_8643 Rd 107, Paulding, OH 45879, USA
41.1,-83.6_14563-14999 Township Rd 215, Findlay, OH 45840, USA
41.1,-82.6_363 OH-162, North Fairfield, OH 44855, USA
41.1,-81.6_2298 Boughton Dr, Akron, OH 44320, USA
41.1,-80.6_2316 Oak St Ext, Youngstown, OH 44505, USA
41.1,-79.6_Logue Rd, Parker, PA 16049, USA
41.1,-78.6_1613 Christian Ridge Rd, Rockton, PA 15856, USA
41.1,-77.6_653 Berry Rd, Beech Creek, PA 16822, USA
41.1,-76.6_271 White Hall Rd, Bloomsburg, PA 17815, USA
41.1,-75.6_5759 PA-115, Blakeslee, PA 18610, USA
41.1,-74.6_210 Cork Hill Rd, Franklin, NJ 07416, USA
41.1,-73.6_72-98 Carrington Dr, Stamford, CT 06903, USA
41.1,-72.6_7855 Oregon Rd, Cutchogue, NY 11935, USA
42.1,-124.6_96432 Shorewood Terrace, Brookings, OR 97415, USA
42.1,-123.6_175 Beaver Meadows, Cave Junction, OR 97523, USA
42.1,-122.6_3350 Old Siskiyou Hwy, Ashland, OR 97520, USA
42.1,-121.6_Unnamed Road, Klamath Falls, OR 97603, USA
42.1,-120.6_NF-401, Lakeview, OR 97630, USA
42.1,-119.6_Warner Hwy, Adel, OR 97620, USA
42.1,-118.6_15824 Fields-Denio Rd, Fields, OR 97710, USA
42.1,-117.6_Nouque Ranch Rd, McDermitt, OR 89421, USA
42.1,-116.6_Unnamed Road, Idaho, USA
42.1,-115.6_Unnamed Road, Rogerson, ID 83302, USA
42.1,-114.6_Magic Hot Springs Rd, Rogerson, ID 83302, USA
42.1,-113.6_2850 Narrows Rd, Malta, ID 83342, USA
42.1,-112.6_S 19000 W, Malad City, ID 83252, USA
42.1,-111.6_Forest Rd 1125, Preston, ID 83263, USA
42.1,-110.6_Unnamed Road, Kemmerer, WY 83101, USA
42.1,-109.6_Lincoln Sweetwater Rd, Farson, WY 82932, USA
42.1,-108.6_Unnamed Road, Wyoming, USA
42.1,-107.6_Unnamed Road, Rawlins, WY 82301, USA
42.1,-106.6_Unnamed Road, Hanna, WY 82327, USA
42.1,-105.6_1101-1143 Garrett Rd, Garrett, WY 82058, USA
42.1,-104.6_Rd 55, Fort Laramie, WY 82212, USA
42.1,-103.6_Unnamed Road, Alliance, NE 69301, USA
42.1,-102.6_405th Trail, Alliance, NE 69301, USA
42.1,-101.6_Unnamed Road, Hyannis, NE 69350, USA
42.1,-100.6_County Line Rd, Thedford, NE 69166, USA
42.1,-99.6_Unnamed Road, Bassett, NE 68714, USA
42.1,-98.6_49462 847th Rd, Ewing, NE 68735, USA
42.1,-97.6_84598 546th Ave, Norfolk, NE 68701, USA
42.1,-96.6_Unnamed Road, Bancroft, NE 68004, USA
42.1,-95.6_1729-1779 140th St, Charter Oak, IA 51439, USA
42.1,-94.6_255 175th St, Scranton, IA 51462, USA
42.1,-93.6_55785-55799 175th St, Ames, IA 50010, USA
42.1,-92.6_2405 II Ave, Toledo, IA 52342, USA
42.1,-91.6_3200-3300 N Marion Rd, Marion, IA 52302, USA
42.1,-90.6_25108 Dark Hollow Rd, Maquoketa, IA 52060, USA
42.1,-89.6_13976 W West Grove Rd, Forreston, IL 61030, USA
42.1,-88.6_32360 New Lebanon Rd, Hampshire, IL 60140, USA
42.1,-87.6_790 Sheridan Rd, Wilmette, IL 60091, USA
42.1,-86.6_2580 Sundance Path, Shoreham, MI 49085, USA
42.1,-85.6_14535 S 16th St, Schoolcraft, MI 49087, USA
42.1,-84.6_10085 Hanover Rd, Hanover, MI 49241, USA
42.1,-83.6_12940 Whittaker Rd, Milan, MI 48160, USA
42.1,-80.6_8 Eagley Rd, East Springfield, PA 16411, USA
42.1,-79.6_8243-8385 County Touring Rte 4, Clymer, NY 14724, USA
42.1,-78.6_10 Mile Rd, Allegany, NY 14706, USA
42.1,-77.6_2187-2299 Gunn Rd, Greenwood, NY 14839, USA
42.1,-76.6_169-351 Putt Hill Rd, Lockwood, NY 14859, USA
42.1,-75.6_698 Ostrander Rd, Windsor, NY 13865, USA
42.1,-74.6_Unnamed Road, Margaretville, NY 12455, USA
42.1,-73.6_Vista Rd, Copake, NY 12516, USA
42.1,-72.6_US-5, West Springfield, MA 01089, USA
42.1,-71.6_609-623 Hartford Ave E, Uxbridge, MA 01569, USA
42.1,-70.6_19 Middle St, Marshfield, MA 02050, USA
43.1,-124.6_1455 Pelican Pl, Bandon, OR 97411, USA
43.1,-123.6_1013 Orchard Ln, Roseburg, OR 97471, USA
43.1,-122.6_NF-28, Tiller, OR 97484, USA
43.1,-121.6_Unnamed Road, Oregon, USA
43.1,-120.6_Unnamed Road, Silver Lake, OR 97638, USA
43.1,-119.6_Unnamed Road, Oregon, USA
43.1,-118.6_51629 Happy Valley Rd, Princeton, OR 97721, USA
43.1,-117.6_Mud Lake Reservoir Rd, Jordan Valley, OR 97910, USA
43.1,-116.6_Silver City Rd, Murphy, ID 83650, USA
43.1,-115.6_5486 SE Crop Ave, Mountain Home, ID 83647, USA
43.1,-114.6_Unnamed Road, Gooding, ID 83330, USA
43.1,-113.6_Unnamed Road, Idaho, USA
43.1,-112.6_1555 ID-39, Pingree, ID 83262, USA
43.1,-111.6_Cranes Flat Rd, Idaho, USA
43.1,-110.6_Unnamed Road, Bondurant, WY 82922, USA
43.1,-109.6_Continental Divide Trail, Cora, WY 82925, USA
43.1,-108.6_7340 Riverview Rd, Riverton, WY 82501, USA
43.1,-107.6_Unnamed Road, Shoshoni, WY 82649, USA
43.1,-106.6_Thirtythree Mile Rd, Wyoming, USA
43.1,-105.6_669 Highland Loop Rd, Douglas, WY 82633, USA
43.1,-104.6_970 N Lance Creek Rd, Lance Creek, WY 82222, USA
43.1,-103.6_Unnamed Road, Hot Springs, SD 57747, USA
43.1,-102.6_Wolf Hound Rd, Pine Ridge, SD 57770, USA
43.1,-101.6_Unnamed Road, Martin, SD 57551, USA
43.1,-100.6_US-83, Valentine, SD 69201, USA
43.1,-99.6_297th St, Dallas, SD 57529, USA
43.1,-98.6_Crop Rd, Lake Andes, SD 57356, USA
43.1,-97.6_29575 430th Ave, Lesterville, SD 57040, USA
43.1,-96.6_48008-48052 296th St, Hudson, SD 57034, USA
43.1,-95.6_6010-6050 380th St, Primghar, IA 51245, USA
43.1,-94.6_3729-3791 500th Ave, Cylinder, IA 50528, USA
43.1,-93.6_500-598 Grove Ave, Garner, IA 50438, USA
43.1,-92.6_3185 180th St, Charles City, IA 50616, USA
43.1,-91.6_117-199 US-52, Postville, IA 52162, USA
43.1,-90.6_16401-16599 Co Rd T, Boscobel, WI 53805, USA
43.1,-89.6_4471 Rocky Dell Rd, Cross Plains, WI 53528, USA
43.1,-88.6_N7198 Woody Ln Dr, Oconomowoc, WI 53066, USA
43.1,-87.6_Milwaukee County, WI, USA
43.1,-86.6_Ottawa County, MI, USA
43.1,-85.6_7540 Belmont Ave NE, Belmont, MI 49306, USA
43.1,-84.6_3984 W Hyde Rd, St Johns, MI 48879, USA
43.1,-83.6_5472 Woodlawn Dr, Flint, MI 48506, USA
43.1,-82.6_6779 Gibbons Rd, Grant Township, MI 48032, USA
43.1,-78.6_6654 Moyer Rd, Lockport, NY 14094, USA
43.1,-77.6_3031-3039 S Clinton Ave, Rochester, NY 14623, USA
43.1,-76.6_9971 Dietzel Rd, Weedsport, NY 13166, USA
43.1,-75.6_5036 NY-365, Verona, NY 13478, USA
43.1,-74.6_316 Sprite Club Rd, St Johnsville, NY 13452, USA
43.1,-73.6_142 Circle Dr, Northville, NY 12134, USA
43.1,-72.6_131 Reed Rd, Chester, VT 05143, USA
43.1,-71.6_99-121 Robert Rogers Rd, Dunbarton, NH 03046, USA
43.1,-70.6_293 ME-103, York, ME 03909, USA
44.1,-124.6_wekjfn,33woigb, OR 11111, USA
44.1,-123.6_Walker Point Rd, Walton, OR 97490, USA
44.1,-122.6_Unnamed Road, Springfield, OR 97478, USA
44.1,-121.6_NF-370, Bend, OR 97701, USA
44.1,-120.6_Eagle View Rd, Prineville, OR 97754, USA
44.1,-119.6_NF-700, Paulina, OR 97751, USA
44.1,-118.6_NF-461, Oregon, USA
44.1,-117.6_Dry Creek Loop Rd, Vale, OR 97918, USA
44.1,-116.6_8800 Dry Creek Rd, Payette, ID 83661, USA
44.1,-115.6_Bear Valley Rd, Lowman, ID 83637, USA
44.1,-114.6_Big Boulder Creek Rd, Clayton, ID 83227, USA
44.1,-113.6_Unnamed Road, May, ID 83253, USA
44.1,-112.6_ID-22, Monteview, ID 83435, USA
44.1,-111.6_Sarilda Rd, Ashton, ID 83420, USA
44.1,-110.6_John D Rockefeller Jr Pkwy, Moran, WY 83013, USA
44.1,-109.6_4148 Southfork Rd, Cody, WY 82414, USA
44.1,-108.6_Unnamed Road, Worland, WY 82401, USA
44.1,-107.6_Bentonite Ridge Rd, Ten Sleep, WY 82442, USA
44.1,-106.6_Middle Fork Rd End, Buffalo, WY 82834, USA
44.1,-105.6_Unnamed Road, Gillette, WY 82718, USA
44.1,-104.6_Community Pasture Rd, Upton, WY 82730, USA
44.1,-103.6_Kelly Gulch Rd, Rapid City, SD 57702, USA
44.1,-102.6_I-90, Owanka, SD 57767, USA
44.1,-101.6_225th Ave, Philip, SD 57567, USA
44.1,-100.6_Lincoln Rd, Draper, SD 57531, USA
44.1,-99.6_Little Bend Rd, Lower Brule, SD 57548, USA
44.1,-98.6_380th Ave, Wessington Springs, SD 57382, USA
44.1,-97.6_227th St, Howard, SD 57349, USA
44.1,-96.6_22637 Sd Hwy 13, Flandreau, SD 57028, USA
44.1,-95.6_1700-1758 230th Ave, Currie, MN 56123, USA
44.1,-94.6_T114, Hanska, MN 56041, USA
44.1,-93.6_7865-7999 Old U.S. 14, Janesville, MN 56048, USA
44.1,-92.6_6939 80th Ave NW, Byron, MN 55920, USA
44.1,-91.6_W334 Piepers Valley Rd, Fountain City, WI 54629, USA
44.1,-90.6_19616 Chaparral Ave, Warrens, WI 54666, USA
44.1,-89.6_1075 1st Ave, Hancock, WI 54943, USA
44.1,-88.6_4018 Brooks Rd, Oshkosh, WI 54904, USA
44.1,-87.6_5000 Memorial Dr, Two Rivers, WI 54241, USA
44.1,-86.6_Unnamed Road, Free Soil, MI 49411, USA
44.1,-85.6_7280 N Hawkins Rd, Luther, MI 49656, USA
44.1,-84.6_4275 Cassidy Rd, Gladwin, MI 48624, USA
44.1,-83.6_5084-5434 N Hammell Beach Rd, Au Gres, MI 48703, USA
44.1,-82.6_Huron County, MI, USA
44.1,-75.6_US Military Hwy, Carthage, NY 13619, USA
44.1,-74.6_Ip Access Rd, Long Lake, NY 12847, USA
44.1,-73.6_Adirondack Park, New Russia, NY 12964, USA
44.1,-72.6_305 Getz Rd, Williamstown, VT 05679, USA
44.1,-71.6_Black Pond Trail, Lincoln, NH 03251, USA
44.1,-70.6_Jesse Mill Rd, Otisfield, ME 04270, USA
44.1,-69.6_74-100 Nelson Rd, Alna, ME 04535, USA
45.1,-124.6_Terrace, Brookings, OR 97415, USA
45.1,-123.6_22285 Spirit Mountain Rd, Grand Ronde, OR 97347, USA
45.1,-122.6_35035 S Soda Springs Rd, Molalla, OR 97038, USA
45.1,-121.6_Unnamed Road, Maupin, OR 97037, USA
45.1,-120.6_Helyer Rd, Kent, OR 97033, USA
45.1,-119.6_51801 Sunflower Flat Rd, Heppner, OR 97836, USA
45.1,-118.6_NF-5226, Ukiah, OR 97880, USA
45.1,-117.6_NF-650, Baker City, OR 97814, USA
45.1,-116.6_Unnamed Road, New Meadows, ID 83654, USA
45.1,-115.6_Unnamed Road, Yellow Pine, ID 83677, USA
45.1,-114.6_Forest Rd 114, Challis, ID 83226, USA
45.1,-113.6_Unnamed Road, Salmon, ID 83467, USA
45.1,-112.6_7353-7951 Blacktail Rd, Dillon, MT 59725, USA
45.1,-111.6_1255-1335 Bear Creek Loop, Cameron, MT 59720, USA
45.1,-110.6_Bear Fork Rd, Gardiner, MT 59030, USA
45.1,-109.6_Forest Rte 421, Cody, MT 82414, USA
45.1,-108.6_561 Quarry Rd, Bridger, MT 59014, USA
45.1,-107.6_Unnamed Road, Lodge Grass, MT 59050, USA
45.1,-106.6_Otter Rd, Decker, MT 59025, USA
45.1,-105.6_Unnamed Road, Biddle, MT 59314, USA
45.1,-104.6_US-212, Alzada, MT 59311, USA
45.1,-103.6_Unnamed Road, Belle Fourche, SD 57717, USA
45.1,-102.6_Bixby Rd, Faith, SD 57626, USA
45.1,-101.6_Unnamed Road, Dupree, SD 57623, USA
45.1,-100.6_Laplant Rd, Mobridge, SD 57601, USA
45.1,-99.6_Unnamed Road, Seneca, SD 57473, USA
45.1,-98.6_158th St, Northville, SD 57465, USA
45.1,-97.6_Co Rd 39, Bradley, SD 57217, USA
45.1,-96.6_15701-15769 480th Ave, Labolt, SD 57246, USA
45.1,-95.6_5045 1st Ave S, Montevideo, MN 56265, USA
45.1,-94.6_58000-58308 243rd St, Litchfield, MN 55355, USA
45.1,-93.6_8175 Strehler Rd, Hamel, MN 55340, USA
45.1,-92.6_991 165th Ave, New Richmond, WI 54017, USA
45.1,-91.6_3594 Co Hwy A, Bloomer, WI 54724, USA
45.1,-90.6_N2126 Coyote Dr, Withee, WI 54498, USA
45.1,-89.6_Hazelwood Ln, Wausau, WI 54403, USA
45.1,-88.6_Camp 23 Rd, White Lake, WI 54491, USA
45.1,-87.6_222-298 2nd St, Menominee, MI 49858, USA
45.1,-86.6_Door County, WI, USA
45.1,-85.6_8043-8099 N Indian Camp Rd, Northport, MI 49670, USA
45.1,-84.6_3747-3757 Peanut Hill Rd, Gaylord, MI 49735, USA
45.1,-83.6_Lancaster Trail, Alpena, MI 49707, USA
45.1,-82.6_Alpena County, MI, USA
45.1,-74.6_5905-6177 County Rd 27, Williamstown, ON K0C 2J0, Canada
45.1,-73.6_450 Chemin Back Bush, Hemmingford, QC J0L 1H0, Canada
45.1,-72.6_29 Chemin Billings, Sutton, QC J0E 2K0, Canada
45.1,-71.6_1188-1214 Chemin St Jacques, Saint-Herménégilde, QC J0B 2W0, Canada
45.1,-70.6_Unnamed Road, Eustis, ME 04936, USA
45.1,-69.6_Unnamed Road, Kingsbury Plantation, ME 04942, USA
45.1,-68.6_Meadow Rd, Greenbush, ME 04418, USA
45.1,-67.6_Unnamed Road, Baileyville, ME 04694, USA
46.1,-124.6_wkjfb,3qg,WA 22030, USA 
46.1,-123.6_92521 Headworks Rd, Astoria, OR 97103, USA
46.1,-122.6_Unnamed Road, Ariel, WA 98603, USA
46.1,-121.6_NF-8031, Washington, USA
46.1,-120.6_BIA Rd 83, Washington, USA
46.1,-119.6_82301 WA-221, Prosser, WA 99350, USA
46.1,-118.6_5096 Woodward Canyon Rd, Touchet, WA 99360, USA
46.1,-117.6_Diamond Creek Rd, Pomeroy, WA 99347, USA
46.1,-116.6_Unnamed Road, Winchester, ID 83555, USA
46.1,-115.6_Swiftwater Rd, Kooskia, ID 83539, USA
46.1,-114.6_Twin Lakes Rd, Hamilton, MT 59840, USA
46.1,-113.6_Co Rd 5107, Philipsburg, MT 59858, USA
46.1,-112.6_Butcher Gulch Rd, Butte, MT 59701, USA
46.1,-111.6_Spike's Ln, Toston, MT 59643, USA
46.1,-110.6_731 Shields River Rd, Wilsall, MT 59086, USA
46.1,-109.6_1998 S Shawmut Rd, Ryegate, MT 59074, USA
46.1,-108.6_3018-3798 21 Mile Rd, Broadview, MT 59015, USA
46.1,-107.6_I-94, Custer, MT 59024, USA
46.1,-106.6_Unnamed Road, Forsyth, MT 59327, USA
46.1,-105.6_Unnamed Road, Miles City, MT 59301, USA
46.1,-104.6_Unnamed Road, Ismay, MT 59336, USA
46.1,-103.6_Unnamed Road, Rhame, ND 58651, USA
46.1,-102.6_299-399 8th Ave NE, Hettinger, ND 58639, USA
46.1,-101.6_59th Ave SW, Carson, ND 58529, USA
46.1,-100.6_91st St SW, Linton, ND 58552, USA
46.1,-99.6_3700-3744 91st St SE, Wishek, ND 58495, USA
46.1,-98.6_8542-8552 91st St SE, Ellendale, ND 58436, USA
46.1,-97.6_13353-13399 91st St SE, Forman, ND 58032, USA
46.1,-96.6_9095 182nd Ave SE, Fairmount, ND 58030, USA
46.1,-95.6_Old Post Rd, Evansville, MN 56326, USA
46.1,-94.6_2912 230th St, Randall, MN 56475, USA
46.1,-93.6_37477-38281 90th Ave, Onamia, MN 56359, USA
46.1,-92.6_50680 Fleming Logging Rd, Sandstone, MN 55072, USA
46.1,-91.6_John Waggoner Rd, Hayward, WI 54843, USA
46.1,-90.6_75684 Schmenski Rd, Glidden, WI 54527, USA
46.1,-89.6_9458-9892 Forest Rd, Boulder Junction, WI 54512, USA
46.1,-88.6_1672 S Ice Lake Rd, Iron River, MI 49935, USA
46.1,-87.6_Unnamed Road, Felch, MI 49831, USA
46.1,-86.6_2760 Rd, Wetmore, MI 49895, USA
46.1,-85.6_W14716 US-2, Engadine, MI 49827, USA
46.1,-84.6_2626 E Simmons Rd, Hessel, MI 49745, USA
46.1,-69.6_Scott Brook Rd, Northwest Piscataquis, ME, USA
46.1,-68.6_Unnamed Road, Patten, ME 04765, USA
47.1,-124.6_3lkgfn,3g3g, ME 13133, USA
47.1,-123.6_Wilkie Ln, Montesano, WA 98563, USA
47.1,-122.6_5600-5626 N 6th St, Joint Base Lewis-McChord, WA 98433, USA
47.1,-121.6_62618 Elk Trail Way E, Enumclaw, WA 98022, USA
47.1,-120.6_4620 Smithson Rd, Ellensburg, WA 98926, USA
47.1,-119.6_408 S Main St, Warden, WA 98857, USA
47.1,-118.6_Heineman Rd, Ritzville, WA 99169, USA
47.1,-117.6_Harwood Hill Rd, St John, WA 99171, USA
47.1,-116.6_300-398 Hume Creek Rd, St Maries, ID 83861, USA
47.1,-115.6_St Joe Nf Rd 201, Avery, ID 83802, USA
47.1,-114.6_Rd No 454, Huson, MT 59846, USA
47.1,-113.6_Finley Creek Rd, Bonner, MT 59823, USA
47.1,-112.6_Unnamed Road, Lincoln, MT 59639, USA
47.1,-111.6_Unnamed Road, Cascade, MT 59421, USA
47.1,-110.6_Forest Service Rd 262, Geyser, MT 59447, USA
47.1,-109.6_6691 Hanover Rd, Lewistown, MT 59457, USA
47.1,-108.6_Blakeslee Rd, Montana, USA
47.1,-107.6_Unnamed Road, Sand Springs, MT 59077, USA
47.1,-106.6_Unnamed Road, Cohagen, MT 59322, USA
47.1,-105.6_Xit Rd, Terry, MT 59349, USA
47.1,-104.6_523 Rd 300, Glendive, MT 59330, USA
47.1,-103.6_Unnamed Road, Sentinel Butte, ND 58654, USA
47.1,-102.6_22nd St SW, Gladstone, ND 58630, USA
47.1,-101.6_Unnamed Road, New Salem, ND 58563, USA
47.1,-100.6_11900-12454 266th Ave NE, Wilton, ND 58579, USA
47.1,-99.6_4201-4247 22nd St SE, Pettibone, ND 58475, USA
47.1,-98.6_2121-2199 90th Ave SE, Courtenay, ND 58426, USA
47.1,-97.6_137 Ave SE, Page, ND 58064, USA
47.1,-96.6_9214 170 Ave N, Borup, MN 56519, USA
47.1,-95.6_Ltl Bemidji Rd, Waubun, MN 56589, USA
47.1,-94.6_8099 MN-371, Walker, MN 56484, USA
47.1,-93.6_Smith Creek Trail, Grand Rapids, MN 55744, USA
47.1,-92.6_8127-8227 Hwy 7, Meadowlands, MN 55765, USA
47.1,-91.6_2314 Co Hwy 3, Two Harbors, MN 55616, USA
47.1,-90.6_Ashland County, WI, USA
47.1,-89.6_Ontonagon County, MI, USA
47.1,-88.6_Sermon Rd, Houghton, MI 49931, USA
47.1,-87.6_Marquette County, MI, USA
47.1,-86.6_Alger County, MI, USA
47.1,-85.6_Luce County, MI, USA
47.1,-69.6_Unnamed Road, Mont-Carmel, QC G0L 1W0, Canada
47.1,-68.6_47 Gilmore Brook Rd, Eagle Lake, ME 04739, USA
48.1,-124.6_Ozette Mnln, Clallam Bay, WA 98326, USA
48.1,-123.6_2213 Dan Kelly Rd, Port Angeles, WA 98363, USA
48.1,-122.6_3030 Sea Eagle Ln, Greenbank, WA 98253, USA
48.1,-121.6_NF-4052, Granite Falls, WA 98252, USA
48.1,-120.6_National Forest Development Rd 1441 Trail, Entiat, WA 98822, USA
48.1,-119.6_Unnamed Road, Brewster, WA 98812, USA
48.1,-118.6_Copper Creek Rd, Keller, WA 99140, USA
48.1,-117.6_3880-3964 Southwood Shores Rd, Loon Lake, WA 99148, USA
48.1,-116.6_182 Blackberry Ln, Cocolalla, ID 83813, USA
48.1,-115.6_NF-2316, Libby, MT 59923, USA
48.1,-114.6_Unnamed Road, Kila, MT 59920, USA
48.1,-113.6_NF-5338, Hungry Horse, MT 59919, USA
48.1,-112.6_W Gypsy Basin Rd, Pendroy, MT 59467, USA
48.1,-111.6_6029 Hog Johnson Road, Brady, MT 59416, USA
48.1,-110.6_491 Jerrys Ln, Loma, MT 59460, USA
48.1,-109.6_223 Clear Creek Rd, Big Sandy, MT 59520, USA
48.1,-108.6_Unnamed Road, Harlem, MT 59526, USA
48.1,-107.6_Content Rd, Malta, MT 59538, USA
48.1,-106.6_MT-24, Glasgow, MT 59230, USA
48.1,-105.6_7141 MT-25, Wolf Point, MT 59201, USA
48.1,-104.6_Co Rd 152, Brockton, MT 59213, USA
48.1,-103.6_Unnamed Road, Williston, ND 58801, USA
48.1,-102.6_ND-1804, New Town, ND 58763, USA
48.1,-101.6_12100 198th St SW, Des Lacs, ND 58733, USA
48.1,-100.6_1st Ave N, Karlsruhe, ND 58744, USA
48.1,-99.6_Toso Rd, Esmond, ND 58332, USA
48.1,-98.6_9347-9399 47th St NE, Crary, ND 58327, USA
48.1,-97.6_3598 29th Ave NE, Gilby, ND 58235, USA
48.1,-96.6_15836 260th Ave NW, Angus, MN 56762, USA
48.1,-95.6_Unnamed Road, Goodridge, MN 56725, USA
48.1,-94.6_20607 Joas Beach Rd NE, Kelliher, MN 56650, USA
48.1,-93.6_Deer River Line, Big Falls, MN 56627, USA
48.1,-92.6_8401-8495 Orr Buyck Rd, Orr, MN 55771, USA
