Category,State,Year,Month,Value(cents per KWH),state_year_month
Average retail price of electricity , Arkansas ,2011,7,9.56, Arkansas 20117
Average retail price of electricity , Arkansas ,2011,6,9.49, Arkansas 20116
Average retail price of electricity , Arkansas ,2011,5,9.34, Arkansas 20115
Average retail price of electricity , Arkansas ,2011,4,9.06, Arkansas 20114
Average retail price of electricity , Arkansas ,2011,3,8.44, Arkansas 20113
Average retail price of electricity , Arkansas ,2011,2,7.89, Arkansas 20112
Average retail price of electricity , Arkansas ,2011,1,7.82, Arkansas 20111
Average retail price of electricity , Arkansas ,2010,12,8.28, Arkansas 201012
Average retail price of electricity , Arkansas ,2010,11,8.93, Arkansas 201011
Average retail price of electricity , Arkansas ,2010,10,8.79, Arkansas 201010
Average retail price of electricity , Arkansas ,2010,9,8.91, Arkansas 20109
Average retail price of electricity , Arkansas ,2010,8,8.89, Arkansas 20108
Average retail price of electricity , Arkansas ,2010,7,8.9, Arkansas 20107
Average retail price of electricity , Arkansas ,2010,6,9.46, Arkansas 20106
Average retail price of electricity , Arkansas ,2010,5,9.41, Arkansas 20105
Average retail price of electricity , Arkansas ,2010,4,9.34, Arkansas 20104
Average retail price of electricity , Arkansas ,2010,3,8.74, Arkansas 20103
Average retail price of electricity , Arkansas ,2010,2,8.56, Arkansas 20102
Average retail price of electricity , Arkansas ,2010,1,8.46, Arkansas 20101
Average retail price of electricity , Arkansas ,2009,12,8.64, Arkansas 200912
Average retail price of electricity , Arkansas ,2009,11,9.1, Arkansas 200911
Average retail price of electricity , Arkansas ,2009,10,9.29, Arkansas 200910
Average retail price of electricity , Arkansas ,2009,9,9.32, Arkansas 20099
Average retail price of electricity , Arkansas ,2009,8,9.43, Arkansas 20098
Average retail price of electricity , Arkansas ,2009,7,9.38, Arkansas 20097
Average retail price of electricity , Arkansas ,2009,6,9.22, Arkansas 20096
Average retail price of electricity , Arkansas ,2009,5,9.23, Arkansas 20095
Average retail price of electricity , Arkansas ,2009,4,9.07, Arkansas 20094
Average retail price of electricity , Arkansas ,2009,3,9.25, Arkansas 20093
Average retail price of electricity , Arkansas ,2009,2,9.04, Arkansas 20092
Average retail price of electricity , Arkansas ,2009,1,8.68, Arkansas 20091
Average retail price of electricity , Arkansas ,2008,12,8.64, Arkansas 200812
Average retail price of electricity , Arkansas ,2008,11,9.42, Arkansas 200811
Average retail price of electricity , Arkansas ,2008,10,9.74, Arkansas 200810
Average retail price of electricity , Arkansas ,2008,9,10.01, Arkansas 20089
Average retail price of electricity , Arkansas ,2008,8,9.79, Arkansas 20088
Average retail price of electricity , Arkansas ,2008,7,10.06, Arkansas 20087
Average retail price of electricity , Arkansas ,2008,6,10.11, Arkansas 20086
Average retail price of electricity , Arkansas ,2008,5,9.71, Arkansas 20085
Average retail price of electricity , Arkansas ,2008,4,9.43, Arkansas 20084
Average retail price of electricity , Arkansas ,2008,3,8.52, Arkansas 20083
Average retail price of electricity , Arkansas ,2008,2,8.1, Arkansas 20082
Average retail price of electricity , Arkansas ,2008,1,7.94, Arkansas 20081
Average retail price of electricity , Arkansas ,2007,12,8.4, Arkansas 200712
Average retail price of electricity , Arkansas ,2007,11,9.04, Arkansas 200711
Average retail price of electricity , Arkansas ,2007,10,8.72, Arkansas 200710
Average retail price of electricity , Arkansas ,2007,9,9.02, Arkansas 20079
Average retail price of electricity , Arkansas ,2007,8,9.09, Arkansas 20078
Average retail price of electricity , Arkansas ,2007,7,9.19, Arkansas 20077
Average retail price of electricity , Arkansas ,2007,6,8.74, Arkansas 20076
Average retail price of electricity , Arkansas ,2007,5,8.52, Arkansas 20075
Average retail price of electricity , Arkansas ,2007,4,8.63, Arkansas 20074
Average retail price of electricity , Arkansas ,2007,3,8.86, Arkansas 20073
Average retail price of electricity , Arkansas ,2007,2,8.12, Arkansas 20072
Average retail price of electricity , Arkansas ,2007,1,8.24, Arkansas 20071
Average retail price of electricity , Arkansas ,2006,12,8.59, Arkansas 200612
Average retail price of electricity , Arkansas ,2006,11,8.94, Arkansas 200611
Average retail price of electricity , Arkansas ,2006,10,9.06, Arkansas 200610
Average retail price of electricity , Arkansas ,2006,9,9.51, Arkansas 20069
Average retail price of electricity , Arkansas ,2006,8,9.77, Arkansas 20068
Average retail price of electricity , Arkansas ,2006,7,9.14, Arkansas 20067
Average retail price of electricity , Arkansas ,2006,6,8.91, Arkansas 20066
Average retail price of electricity , Arkansas ,2006,5,8.69, Arkansas 20065
Average retail price of electricity , Arkansas ,2006,4,8.55, Arkansas 20064
Average retail price of electricity , Arkansas ,2006,3,8.07, Arkansas 20063
Average retail price of electricity , Arkansas ,2006,2,8.08, Arkansas 20062
Average retail price of electricity , Arkansas ,2006,1,8.15, Arkansas 20061
Average retail price of electricity , Arkansas ,2005,12,8.12, Arkansas 200512
Average retail price of electricity , Arkansas ,2005,11,8.37, Arkansas 200511
Average retail price of electricity , Arkansas ,2005,10,8.37, Arkansas 200510
Average retail price of electricity , Arkansas ,2005,9,8.84, Arkansas 20059
Average retail price of electricity , Arkansas ,2005,8,8.48, Arkansas 20058
Average retail price of electricity , Arkansas ,2005,7,8.31, Arkansas 20057
Average retail price of electricity , Arkansas ,2005,6,8.34, Arkansas 20056
Average retail price of electricity , Arkansas ,2005,5,8.01, Arkansas 20055
Average retail price of electricity , Arkansas ,2005,4,7.79, Arkansas 20054
Average retail price of electricity , Arkansas ,2005,3,7.23, Arkansas 20053
Average retail price of electricity , Arkansas ,2005,2,6.86, Arkansas 20052
Average retail price of electricity , Arkansas ,2005,1,6.65, Arkansas 20051
Average retail price of electricity , Arkansas ,2004,12,6.98, Arkansas 200412
Average retail price of electricity , Arkansas ,2004,11,7.46, Arkansas 200411
Average retail price of electricity , Arkansas ,2004,10,7.09, Arkansas 200410
Average retail price of electricity , Arkansas ,2004,9,7.79, Arkansas 20049
Average retail price of electricity , Arkansas ,2004,8,7.96, Arkansas 20048
Average retail price of electricity , Arkansas ,2004,7,7.87, Arkansas 20047
Average retail price of electricity , Arkansas ,2004,6,8, Arkansas 20046
Average retail price of electricity , Arkansas ,2004,5,7.64, Arkansas 20045
Average retail price of electricity , Arkansas ,2004,4,7.43, Arkansas 20044
Average retail price of electricity , Arkansas ,2004,3,6.86, Arkansas 20043
Average retail price of electricity , Arkansas ,2004,2,6.5, Arkansas 20042
Average retail price of electricity , Arkansas ,2004,1,6.51, Arkansas 20041
Average retail price of electricity , Arkansas ,2003,12,6.55, Arkansas 200312
Average retail price of electricity , Arkansas ,2003,11,6.98, Arkansas 200311
Average retail price of electricity , Arkansas ,2003,10,7.02, Arkansas 200310
Average retail price of electricity , Arkansas ,2003,9,7.46, Arkansas 20039
Average retail price of electricity , Arkansas ,2003,8,7.84, Arkansas 20038
Average retail price of electricity , Arkansas ,2003,7,7.84, Arkansas 20037
Average retail price of electricity , Arkansas ,2003,6,8.12, Arkansas 20036
Average retail price of electricity , Arkansas ,2003,5,7.51, Arkansas 20035
Average retail price of electricity , Arkansas ,2003,4,7.28, Arkansas 20034
Average retail price of electricity , Arkansas ,2003,3,7, Arkansas 20033
Average retail price of electricity , Arkansas ,2003,2,6.54, Arkansas 20032
Average retail price of electricity , Arkansas ,2003,1,6.44, Arkansas 20031
Average retail price of electricity , Arkansas ,2002,12,6.69, Arkansas 200212
Average retail price of electricity , Arkansas ,2002,11,7.08, Arkansas 200211
Average retail price of electricity , Arkansas ,2002,10,6.87, Arkansas 200210
Average retail price of electricity , Arkansas ,2002,9,7.59, Arkansas 20029
Average retail price of electricity , Arkansas ,2002,8,7.5, Arkansas 20028
Average retail price of electricity , Arkansas ,2002,7,7.72, Arkansas 20027
Average retail price of electricity , Arkansas ,2002,6,7.8, Arkansas 20026
Average retail price of electricity , Arkansas ,2002,5,7.41, Arkansas 20025
Average retail price of electricity , Arkansas ,2002,4,7.14, Arkansas 20024
Average retail price of electricity , Arkansas ,2002,3,7, Arkansas 20023
Average retail price of electricity , Arkansas ,2002,2,7.03, Arkansas 20022
Average retail price of electricity , Arkansas ,2002,1,6.8, Arkansas 20021
Average retail price of electricity , Arkansas ,2001,12,7.4, Arkansas 200112
Average retail price of electricity , Arkansas ,2001,11,7.5, Arkansas 200111
Average retail price of electricity , Arkansas ,2001,10,7.49, Arkansas 200110
Average retail price of electricity , Arkansas ,2001,9,8.07, Arkansas 20019
Average retail price of electricity , Arkansas ,2001,8,8.11, Arkansas 20018
Average retail price of electricity , Arkansas ,2001,7,8.06, Arkansas 20017
Average retail price of electricity , Arkansas ,2001,6,8.3, Arkansas 20016
Average retail price of electricity , Arkansas ,2001,5,8, Arkansas 20015
Average retail price of electricity , Arkansas ,2001,4,8, Arkansas 20014
Average retail price of electricity , Arkansas ,2001,3,7.42, Arkansas 20013
Average retail price of electricity , Arkansas ,2001,2,7.11, Arkansas 20012
Average retail price of electricity , Arkansas ,2001,1,6.88, Arkansas 20011
Average retail price of electricity , California ,2017,7,18.85, California 20177
Average retail price of electricity , California ,2017,6,19.39, California 20176
Average retail price of electricity , California ,2017,5,18.29, California 20175
Average retail price of electricity , California ,2017,4,14.09, California 20174
Average retail price of electricity , California ,2017,3,18.87, California 20173
Average retail price of electricity , California ,2017,2,18.68, California 20172
Average retail price of electricity , California ,2017,1,18.44, California 20171
Average retail price of electricity , California ,2016,12,18.15, California 201612
Average retail price of electricity , California ,2016,11,17.93, California 201611
Average retail price of electricity , California ,2016,10,13.94, California 201610
Average retail price of electricity , California ,2016,9,18.23, California 20169
Average retail price of electricity , California ,2016,8,18.88, California 20168
Average retail price of electricity , California ,2016,7,18.49, California 20167
Average retail price of electricity , California ,2016,6,18.11, California 20166
Average retail price of electricity , California ,2016,5,17.74, California 20165
Average retail price of electricity , California ,2016,4,12.4, California 20164
Average retail price of electricity , California ,2016,3,17.66, California 20163
Average retail price of electricity , California ,2016,2,17.69, California 20162
Average retail price of electricity , California ,2016,1,17.76, California 20161
Average retail price of electricity , California ,2015,12,17.29, California 201512
Average retail price of electricity , California ,2015,11,17.33, California 201511
Average retail price of electricity , California ,2015,10,14.96, California 201510
Average retail price of electricity , California ,2015,9,18.35, California 20159
Average retail price of electricity , California ,2015,8,18.2, California 20158
Average retail price of electricity , California ,2015,7,17.96, California 20157
Average retail price of electricity , California ,2015,6,17.19, California 20156
Average retail price of electricity , California ,2015,5,17.31, California 20155
Average retail price of electricity , California ,2015,4,12.45, California 20154
Average retail price of electricity , California ,2015,3,17.01, California 20153
Average retail price of electricity , California ,2015,2,17.13, California 20152
Average retail price of electricity , California ,2015,1,17.4, California 20151
Average retail price of electricity , California ,2014,12,17.03, California 201412
Average retail price of electricity , California ,2014,11,17, California 201411
Average retail price of electricity , California ,2014,10,13.35, California 201410
Average retail price of electricity , California ,2014,9,17.97, California 20149
Average retail price of electricity , California ,2014,8,18.07, California 20148
Average retail price of electricity , California ,2014,7,17.63, California 20147
Average retail price of electricity , California ,2014,6,16.9, California 20146
Average retail price of electricity , California ,2014,5,16.46, California 20145
Average retail price of electricity , California ,2014,4,10.12, California 20144
Average retail price of electricity , California ,2014,3,15.86, California 20143
Average retail price of electricity , California ,2014,2,16.11, California 20142
Average retail price of electricity , California ,2014,1,16.57, California 20141
Average retail price of electricity , California ,2013,12,16.22, California 201312
Average retail price of electricity , California ,2013,11,16.53, California 201311
Average retail price of electricity , California ,2013,10,16.19, California 201310
Average retail price of electricity , California ,2013,9,16.99, California 20139
Average retail price of electricity , California ,2013,8,16.32, California 20138
Average retail price of electricity , California ,2013,7,16.83, California 20137
Average retail price of electricity , California ,2013,6,17.13, California 20136
Average retail price of electricity , California ,2013,5,15.92, California 20135
Average retail price of electricity , California ,2013,4,15.28, California 20134
Average retail price of electricity , California ,2013,3,15.25, California 20133
Average retail price of electricity , California ,2013,2,15.31, California 20132
Average retail price of electricity , California ,2013,1,16.16, California 20131
Average retail price of electricity , California ,2012,12,15.49, California 201212
Average retail price of electricity , California ,2012,11,14.88, California 201211
Average retail price of electricity , California ,2012,10,14.22, California 201210
Average retail price of electricity , California ,2012,9,16.82, California 20129
Average retail price of electricity , California ,2012,8,16.46, California 20128
Average retail price of electricity , California ,2012,7,15.22, California 20127
Average retail price of electricity , California ,2012,6,15.92, California 20126
Average retail price of electricity , California ,2012,5,15.02, California 20125
Average retail price of electricity , California ,2012,4,14.66, California 20124
Average retail price of electricity , California ,2012,3,14.7, California 20123
Average retail price of electricity , California ,2012,2,14.56, California 20122
Average retail price of electricity , California ,2012,1,15.29, California 20121
Average retail price of electricity , California ,2011,12,14.78, California 201112
Average retail price of electricity , California ,2011,11,14.87, California 201111
Average retail price of electricity , California ,2011,10,14.16, California 201110
Average retail price of electricity , California ,2011,9,14.8, California 20119
Average retail price of electricity , California ,2011,8,15.15, California 20118
Average retail price of electricity , California ,2011,7,15.7, California 20117
Average retail price of electricity , California ,2011,6,14.81, California 20116
Average retail price of electricity , California ,2011,5,14.62, California 20115
Average retail price of electricity , California ,2011,4,14.12, California 20114
Average retail price of electricity , California ,2011,3,14.27, California 20113
Average retail price of electricity , California ,2011,2,14.38, California 20112
Average retail price of electricity , California ,2011,1,15.24, California 20111
Average retail price of electricity , California ,2010,12,14.96, California 201012
Average retail price of electricity , California ,2010,11,14.67, California 201011
Average retail price of electricity , California ,2010,10,14.11, California 201010
Average retail price of electricity , California ,2010,9,14.85, California 20109
Average retail price of electricity , California ,2010,8,15.19, California 20108
Average retail price of electricity , California ,2010,7,15.03, California 20107
Average retail price of electricity , California ,2010,6,15, California 20106
Average retail price of electricity , California ,2010,5,14.9, California 20105
Average retail price of electricity , California ,2010,4,13.91, California 20104
Average retail price of electricity , California ,2010,3,14.78, California 20103
Average retail price of electricity , California ,2010,2,14.21, California 20102
Average retail price of electricity , California ,2010,1,15.18, California 20101
Average retail price of electricity , California ,2009,12,14.73, California 200912
Average retail price of electricity , California ,2009,11,13.56, California 200911
Average retail price of electricity , California ,2009,10,13.85, California 200910
Average retail price of electricity , California ,2009,9,15.53, California 20099
Average retail price of electricity , California ,2009,8,15.93, California 20098
Average retail price of electricity , California ,2009,7,15.66, California 20097
Average retail price of electricity , California ,2009,6,14.77, California 20096
Average retail price of electricity , California ,2009,5,15.01, California 20095
Average retail price of electricity , California ,2009,4,13.96, California 20094
Average retail price of electricity , California ,2009,3,14.14, California 20093
Average retail price of electricity , California ,2009,2,14.14, California 20092
Average retail price of electricity , California ,2009,1,14.7, California 20091
Average retail price of electricity , California ,2008,12,13.7, California 200812
Average retail price of electricity , California ,2008,11,14.22, California 200811
Average retail price of electricity , California ,2008,10,13.09, California 200810
Average retail price of electricity , California ,2008,9,14.02, California 20089
Average retail price of electricity , California ,2008,8,14.56, California 20088
Average retail price of electricity , California ,2008,7,14.4, California 20087
Average retail price of electricity , California ,2008,6,14.5, California 20086
Average retail price of electricity , California ,2008,5,13.55, California 20085
Average retail price of electricity , California ,2008,4,12.93, California 20084
Average retail price of electricity , California ,2008,3,13.15, California 20083
Average retail price of electricity , California ,2008,2,13.36, California 20082
Average retail price of electricity , California ,2008,1,13.73, California 20081
Average retail price of electricity , California ,2007,12,14.46, California 200712
Average retail price of electricity , California ,2007,11,14.37, California 200711
Average retail price of electricity , California ,2007,10,12.53, California 200710
Average retail price of electricity , California ,2007,9,15.1, California 20079
Average retail price of electricity , California ,2007,8,15.11, California 20078
Average retail price of electricity , California ,2007,7,15.13, California 20077
Average retail price of electricity , California ,2007,6,14.72, California 20076
Average retail price of electricity , California ,2007,5,14.15, California 20075
Average retail price of electricity , California ,2007,4,13.74, California 20074
Average retail price of electricity , California ,2007,3,13.82, California 20073
Average retail price of electricity , California ,2007,2,14.18, California 20072
Average retail price of electricity , California ,2007,1,14.98, California 20071
Average retail price of electricity , California ,2006,12,14.47, California 200612
Average retail price of electricity , California ,2006,11,14.47, California 200611
Average retail price of electricity , California ,2006,10,12.2, California 200610
Average retail price of electricity , California ,2006,9,14.57, California 20069
Average retail price of electricity , California ,2006,8,14.89, California 20068
Average retail price of electricity , California ,2006,7,16.65, California 20067
Average retail price of electricity , California ,2006,6,15.17, California 20066
Average retail price of electricity , California ,2006,5,14.04, California 20065
Average retail price of electricity , California ,2006,4,13.99, California 20064
Average retail price of electricity , California ,2006,3,13.72, California 20063
Average retail price of electricity , California ,2006,2,13.45, California 20062
Average retail price of electricity , California ,2006,1,13.14, California 20061
Average retail price of electricity , California ,2005,12,12.91, California 200512
Average retail price of electricity , California ,2005,11,12.8, California 200511
Average retail price of electricity , California ,2005,10,11.3, California 200510
Average retail price of electricity , California ,2005,9,12.14, California 20059
Average retail price of electricity , California ,2005,8,13.43, California 20058
Average retail price of electricity , California ,2005,7,13.16, California 20057
Average retail price of electricity , California ,2005,6,13.4, California 20056
Average retail price of electricity , California ,2005,5,12.57, California 20055
Average retail price of electricity , California ,2005,4,12.12, California 20054
Average retail price of electricity , California ,2005,3,11.28, California 20053
Average retail price of electricity , California ,2005,2,12.33, California 20052
Average retail price of electricity , California ,2005,1,12.19, California 20051
Average retail price of electricity , California ,2004,12,12.4, California 200412
Average retail price of electricity , California ,2004,11,12.5, California 200411
Average retail price of electricity , California ,2004,10,11.43, California 200410
Average retail price of electricity , California ,2004,9,12.18, California 20049
Average retail price of electricity , California ,2004,8,12.5, California 20048
Average retail price of electricity , California ,2004,7,12.19, California 20047
Average retail price of electricity , California ,2004,6,12.4, California 20046
Average retail price of electricity , California ,2004,5,11.97, California 20045
Average retail price of electricity , California ,2004,4,11.43, California 20044
Average retail price of electricity , California ,2004,3,12.14, California 20043
Average retail price of electricity , California ,2004,2,12.39, California 20042
Average retail price of electricity , California ,2004,1,12.59, California 20041
Average retail price of electricity , California ,2003,12,12.45, California 200312
Average retail price of electricity , California ,2003,11,12.54, California 200311
Average retail price of electricity , California ,2003,10,10.47, California 200310
Average retail price of electricity , California ,2003,9,10.08, California 20039
Average retail price of electricity , California ,2003,8,12.9, California 20038
Average retail price of electricity , California ,2003,7,13.5, California 20037
Average retail price of electricity , California ,2003,6,13.12, California 20036
Average retail price of electricity , California ,2003,5,12.74, California 20035
Average retail price of electricity , California ,2003,4,12.51, California 20034
Average retail price of electricity , California ,2003,3,11.42, California 20033
Average retail price of electricity , California ,2003,2,12.41, California 20032
Average retail price of electricity , California ,2003,1,12.81, California 20031
Average retail price of electricity , California ,2002,12,13.31, California 200212
Average retail price of electricity , California ,2002,11,12.55, California 200211
Average retail price of electricity , California ,2002,10,11.98, California 200210
Average retail price of electricity , California ,2002,9,11.61, California 20029
Average retail price of electricity , California ,2002,8,12.92, California 20028
Average retail price of electricity , California ,2002,7,13.28, California 20027
Average retail price of electricity , California ,2002,6,12.87, California 20026
Average retail price of electricity , California ,2002,5,12.82, California 20025
Average retail price of electricity , California ,2002,4,12.05, California 20024
Average retail price of electricity , California ,2002,3,12.58, California 20023
Average retail price of electricity , California ,2002,2,12.58, California 20022
Average retail price of electricity , California ,2002,1,13.03, California 20021
Average retail price of electricity , California ,2001,12,12.26, California 200112
Average retail price of electricity , California ,2001,11,12.12, California 200111
Average retail price of electricity , California ,2001,10,12.49, California 200110
Average retail price of electricity , California ,2001,9,12.87, California 20019
Average retail price of electricity , California ,2001,8,12.8, California 20018
Average retail price of electricity , California ,2001,7,13.05, California 20017
Average retail price of electricity , California ,2001,6,12.87, California 20016
Average retail price of electricity , California ,2001,5,11.97, California 20015
Average retail price of electricity , California ,2001,4,11.14, California 20014
Average retail price of electricity , California ,2001,3,11.29, California 20013
Average retail price of electricity , California ,2001,2,11.14, California 20012
Average retail price of electricity , California ,2001,1,10.89, California 20011
Average retail price of electricity , Colorado ,2017,7,12.45, Colorado 20177
Average retail price of electricity , Colorado ,2017,6,12.75, Colorado 20176
Average retail price of electricity , Colorado ,2017,5,11.91, Colorado 20175
Average retail price of electricity , Colorado ,2017,4,11.95, Colorado 20174
Average retail price of electricity , Colorado ,2017,3,11.89, Colorado 20173
Average retail price of electricity , Colorado ,2017,2,11.88, Colorado 20172
Average retail price of electricity , Colorado ,2017,1,11.53, Colorado 20171
Average retail price of electricity , Colorado ,2016,12,11.78, Colorado 201612
Average retail price of electricity , Colorado ,2016,11,12.16, Colorado 201611
Average retail price of electricity , Colorado ,2016,10,12.01, Colorado 201610
Average retail price of electricity , Colorado ,2016,9,12.78, Colorado 20169
Average retail price of electricity , Colorado ,2016,8,12.79, Colorado 20168
Average retail price of electricity , Colorado ,2016,7,12.44, Colorado 20167
Average retail price of electricity , Colorado ,2016,6,12.56, Colorado 20166
Average retail price of electricity , Colorado ,2016,5,11.67, Colorado 20165
Average retail price of electricity , Colorado ,2016,4,11.78, Colorado 20164
Average retail price of electricity , Colorado ,2016,3,11.35, Colorado 20163
Average retail price of electricity , Colorado ,2016,2,11.38, Colorado 20162
Average retail price of electricity , Colorado ,2016,1,11.08, Colorado 20161
Average retail price of electricity , Colorado ,2015,12,11.6, Colorado 201512
Average retail price of electricity , Colorado ,2015,11,11.72, Colorado 201511
Average retail price of electricity , Colorado ,2015,10,11.88, Colorado 201510
Average retail price of electricity , Colorado ,2015,9,12.57, Colorado 20159
Average retail price of electricity , Colorado ,2015,8,12.58, Colorado 20158
Average retail price of electricity , Colorado ,2015,7,12.71, Colorado 20157
Average retail price of electricity , Colorado ,2015,6,12.57, Colorado 20156
Average retail price of electricity , Colorado ,2015,5,12.1, Colorado 20155
Average retail price of electricity , Colorado ,2015,4,12.14, Colorado 20154
Average retail price of electricity , Colorado ,2015,3,11.93, Colorado 20153
Average retail price of electricity , Colorado ,2015,2,11.89, Colorado 20152
Average retail price of electricity , Colorado ,2015,1,11.52, Colorado 20151
Average retail price of electricity , Colorado ,2014,12,11.47, Colorado 201412
Average retail price of electricity , Colorado ,2014,11,11.64, Colorado 201411
Average retail price of electricity , Colorado ,2014,10,11.81, Colorado 201410
Average retail price of electricity , Colorado ,2014,9,12.78, Colorado 20149
Average retail price of electricity , Colorado ,2014,8,12.89, Colorado 20148
Average retail price of electricity , Colorado ,2014,7,13.14, Colorado 20147
Average retail price of electricity , Colorado ,2014,6,13.06, Colorado 20146
Average retail price of electricity , Colorado ,2014,5,12.14, Colorado 20145
Average retail price of electricity , Colorado ,2014,4,12.11, Colorado 20144
Average retail price of electricity , Colorado ,2014,3,11.71, Colorado 20143
Average retail price of electricity , Colorado ,2014,2,11.69, Colorado 20142
Average retail price of electricity , Colorado ,2014,1,11.46, Colorado 20141
Average retail price of electricity , Colorado ,2013,12,11.46, Colorado 201312
Average retail price of electricity , Colorado ,2013,11,11.66, Colorado 201311
Average retail price of electricity , Colorado ,2013,10,11.84, Colorado 201310
Average retail price of electricity , Colorado ,2013,9,12.65, Colorado 20139
Average retail price of electricity , Colorado ,2013,8,12.63, Colorado 20138
Average retail price of electricity , Colorado ,2013,7,12.87, Colorado 20137
Average retail price of electricity , Colorado ,2013,6,12.49, Colorado 20136
Average retail price of electricity , Colorado ,2013,5,11.65, Colorado 20135
Average retail price of electricity , Colorado ,2013,4,11.64, Colorado 20134
Average retail price of electricity , Colorado ,2013,3,11.42, Colorado 20133
Average retail price of electricity , Colorado ,2013,2,11.32, Colorado 20132
Average retail price of electricity , Colorado ,2013,1,11.11, Colorado 20131
Average retail price of electricity , Colorado ,2012,12,11.07, Colorado 201212
Average retail price of electricity , Colorado ,2012,11,11.38, Colorado 201211
Average retail price of electricity , Colorado ,2012,10,11.33, Colorado 201210
Average retail price of electricity , Colorado ,2012,9,12.11, Colorado 20129
Average retail price of electricity , Colorado ,2012,8,12.15, Colorado 20128
Average retail price of electricity , Colorado ,2012,7,12.32, Colorado 20127
Average retail price of electricity , Colorado ,2012,6,12.01, Colorado 20126
Average retail price of electricity , Colorado ,2012,5,11.27, Colorado 20125
Average retail price of electricity , Colorado ,2012,4,11.04, Colorado 20124
Average retail price of electricity , Colorado ,2012,3,10.84, Colorado 20123
Average retail price of electricity , Colorado ,2012,2,10.76, Colorado 20122
Average retail price of electricity , Colorado ,2012,1,10.61, Colorado 20121
Average retail price of electricity , Colorado ,2011,12,10.78, Colorado 201112
Average retail price of electricity , Colorado ,2011,11,11.01, Colorado 201111
Average retail price of electricity , Colorado ,2011,10,11.04, Colorado 201110
Average retail price of electricity , Colorado ,2011,9,11.98, Colorado 20119
Average retail price of electricity , Colorado ,2011,8,12.16, Colorado 20118
Average retail price of electricity , Colorado ,2011,7,12.16, Colorado 20117
Average retail price of electricity , Colorado ,2011,6,11.95, Colorado 20116
Average retail price of electricity , Colorado ,2011,5,11.15, Colorado 20115
Average retail price of electricity , Colorado ,2011,4,11.1, Colorado 20114
Average retail price of electricity , Colorado ,2011,3,10.58, Colorado 20113
Average retail price of electricity , Colorado ,2011,2,10.47, Colorado 20112
Average retail price of electricity , Colorado ,2011,1,10.37, Colorado 20111
Average retail price of electricity , Colorado ,2010,12,10.26, Colorado 201012
Average retail price of electricity , Colorado ,2010,11,10.39, Colorado 201011
Average retail price of electricity , Colorado ,2010,10,10.53, Colorado 201010
Average retail price of electricity , Colorado ,2010,9,11.66, Colorado 20109
Average retail price of electricity , Colorado ,2010,8,11.7, Colorado 20108
Average retail price of electricity , Colorado ,2010,7,11.7, Colorado 20107
Average retail price of electricity , Colorado ,2010,6,11.89, Colorado 20106
Average retail price of electricity , Colorado ,2010,5,11.48, Colorado 20105
Average retail price of electricity , Colorado ,2010,4,11.19, Colorado 20104
Average retail price of electricity , Colorado ,2010,3,10.57, Colorado 20103
Average retail price of electricity , Colorado ,2010,2,10.56, Colorado 20102
Average retail price of electricity , Colorado ,2010,1,10.29, Colorado 20101
Average retail price of electricity , Colorado ,2009,12,10.2, Colorado 200912
Average retail price of electricity , Colorado ,2009,11,10.39, Colorado 200911
Average retail price of electricity , Colorado ,2009,10,10.51, Colorado 200910
Average retail price of electricity , Colorado ,2009,9,10.67, Colorado 20099
Average retail price of electricity , Colorado ,2009,8,10.4, Colorado 20098
Average retail price of electricity , Colorado ,2009,7,10.38, Colorado 20097
Average retail price of electricity , Colorado ,2009,6,9.93, Colorado 20096
Average retail price of electricity , Colorado ,2009,5,9.68, Colorado 20095
Average retail price of electricity , Colorado ,2009,4,9.54, Colorado 20094
Average retail price of electricity , Colorado ,2009,3,9.37, Colorado 20093
Average retail price of electricity , Colorado ,2009,2,9.44, Colorado 20092
Average retail price of electricity , Colorado ,2009,1,9.21, Colorado 20091
Average retail price of electricity , Colorado ,2008,12,9.46, Colorado 200812
Average retail price of electricity , Colorado ,2008,11,9.97, Colorado 200811
Average retail price of electricity , Colorado ,2008,10,10.32, Colorado 200810
Average retail price of electricity , Colorado ,2008,9,11.07, Colorado 20089
Average retail price of electricity , Colorado ,2008,8,11.09, Colorado 20088
Average retail price of electricity , Colorado ,2008,7,10.95, Colorado 20087
Average retail price of electricity , Colorado ,2008,6,10.54, Colorado 20086
Average retail price of electricity , Colorado ,2008,5,10.4, Colorado 20085
Average retail price of electricity , Colorado ,2008,4,10.13, Colorado 20084
Average retail price of electricity , Colorado ,2008,3,9.37, Colorado 20083
Average retail price of electricity , Colorado ,2008,2,9.25, Colorado 20082
Average retail price of electricity , Colorado ,2008,1,8.95, Colorado 20081
Average retail price of electricity , Colorado ,2007,12,9.01, Colorado 200712
Average retail price of electricity , Colorado ,2007,11,9.35, Colorado 200711
Average retail price of electricity , Colorado ,2007,10,9.34, Colorado 200710
Average retail price of electricity , Colorado ,2007,9,9.17, Colorado 20079
Average retail price of electricity , Colorado ,2007,8,8.97, Colorado 20078
Average retail price of electricity , Colorado ,2007,7,9.09, Colorado 20077
Average retail price of electricity , Colorado ,2007,6,9.72, Colorado 20076
Average retail price of electricity , Colorado ,2007,5,9.62, Colorado 20075
Average retail price of electricity , Colorado ,2007,4,9.46, Colorado 20074
Average retail price of electricity , Colorado ,2007,3,9.43, Colorado 20073
Average retail price of electricity , Colorado ,2007,2,9.22, Colorado 20072
