Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , coal , Kentucky ,2011,7,4298.9, Kentucky 20117
Total consumption , coal , Kentucky ,2011,6,3589.651, Kentucky 20116
Total consumption , coal , Kentucky ,2011,5,3241.531, Kentucky 20115
Total consumption , coal , Kentucky ,2011,4,3112.027, Kentucky 20114
Total consumption , coal , Kentucky ,2011,3,3426.155, Kentucky 20113
Total consumption , coal , Kentucky ,2011,2,3401.864, Kentucky 20112
Total consumption , coal , Kentucky ,2011,1,3973.373, Kentucky 20111
Total consumption , coal , Kentucky ,2010,12,3902.006, Kentucky 201012
Total consumption , coal , Kentucky ,2010,11,3167.214, Kentucky 201011
Total consumption , coal , Kentucky ,2010,10,3133.453, Kentucky 201010
Total consumption , coal , Kentucky ,2010,9,3380.207, Kentucky 20109
Total consumption , coal , Kentucky ,2010,8,3974.435, Kentucky 20108
Total consumption , coal , Kentucky ,2010,7,3790.837, Kentucky 20107
Total consumption , coal , Kentucky ,2010,6,3703.911, Kentucky 20106
Total consumption , coal , Kentucky ,2010,5,2973.157, Kentucky 20105
Total consumption , coal , Kentucky ,2010,4,2889.534, Kentucky 20104
Total consumption , coal , Kentucky ,2010,3,3329.143, Kentucky 20103
Total consumption , coal , Kentucky ,2010,2,3691.595, Kentucky 20102
Total consumption , coal , Kentucky ,2010,1,3955.135, Kentucky 20101
Total consumption , coal , Kentucky ,2009,12,3601.38, Kentucky 200912
Total consumption , coal , Kentucky ,2009,11,2860.503, Kentucky 200911
Total consumption , coal , Kentucky ,2009,10,3069.821, Kentucky 200910
Total consumption , coal , Kentucky ,2009,9,3191.582, Kentucky 20099
Total consumption , coal , Kentucky ,2009,8,3653.024, Kentucky 20098
Total consumption , coal , Kentucky ,2009,7,3365.157, Kentucky 20097
Total consumption , coal , Kentucky ,2009,6,3525.182, Kentucky 20096
Total consumption , coal , Kentucky ,2009,5,3021.433, Kentucky 20095
Total consumption , coal , Kentucky ,2009,4,2881.771, Kentucky 20094
Total consumption , coal , Kentucky ,2009,3,3260.94, Kentucky 20093
Total consumption , coal , Kentucky ,2009,2,3161.399, Kentucky 20092
Total consumption , coal , Kentucky ,2009,1,3678.981, Kentucky 20091
Total consumption , coal , Kentucky ,2008,12,3750.548, Kentucky 200812
Total consumption , coal , Kentucky ,2008,11,3602.959, Kentucky 200811
Total consumption , coal , Kentucky ,2008,10,3321.036, Kentucky 200810
Total consumption , coal , Kentucky ,2008,9,3591.798, Kentucky 20089
Total consumption , coal , Kentucky ,2008,8,3718.191, Kentucky 20088
Total consumption , coal , Kentucky ,2008,7,3861.882, Kentucky 20087
Total consumption , coal , Kentucky ,2008,6,3401.779, Kentucky 20086
Total consumption , coal , Kentucky ,2008,5,3037.222, Kentucky 20085
Total consumption , coal , Kentucky ,2008,4,2979.104, Kentucky 20084
Total consumption , coal , Kentucky ,2008,3,3493.893, Kentucky 20083
Total consumption , coal , Kentucky ,2008,2,3518.814, Kentucky 20082
Total consumption , coal , Kentucky ,2008,1,3913.55, Kentucky 20081
Total consumption , coal , Kentucky ,2007,12,3525.158, Kentucky 200712
Total consumption , coal , Kentucky ,2007,11,3169.761, Kentucky 200711
Total consumption , coal , Kentucky ,2007,10,3280.88, Kentucky 200710
Total consumption , coal , Kentucky ,2007,9,3415.193, Kentucky 20079
Total consumption , coal , Kentucky ,2007,8,4038.681, Kentucky 20078
Total consumption , coal , Kentucky ,2007,7,3736.025, Kentucky 20077
Total consumption , coal , Kentucky ,2007,6,3488.474, Kentucky 20076
Total consumption , coal , Kentucky ,2007,5,3037.292, Kentucky 20075
Total consumption , coal , Kentucky ,2007,4,2699.789, Kentucky 20074
Total consumption , coal , Kentucky ,2007,3,3286.439, Kentucky 20073
Total consumption , coal , Kentucky ,2007,2,3494.908, Kentucky 20072
Total consumption , coal , Kentucky ,2007,1,3891.561, Kentucky 20071
Total consumption , coal , Kentucky ,2006,12,3600.07094, Kentucky 200612
Total consumption , coal , Kentucky ,2006,11,3415.93882, Kentucky 200611
Total consumption , coal , Kentucky ,2006,10,3360.50641, Kentucky 200610
Total consumption , coal , Kentucky ,2006,9,3471.59654, Kentucky 20069
Total consumption , coal , Kentucky ,2006,8,3852.24872, Kentucky 20068
Total consumption , coal , Kentucky ,2006,7,3934.7036, Kentucky 20067
Total consumption , coal , Kentucky ,2006,6,3551.19472, Kentucky 20066
Total consumption , coal , Kentucky ,2006,5,3423.14889, Kentucky 20065
Total consumption , coal , Kentucky ,2006,4,2877.19391, Kentucky 20064
Total consumption , coal , Kentucky ,2006,3,3314.14659, Kentucky 20063
Total consumption , coal , Kentucky ,2006,2,3425.8487, Kentucky 20062
Total consumption , coal , Kentucky ,2006,1,3711.23517, Kentucky 20061
Total consumption , coal , Kentucky ,2005,12,3827.31982, Kentucky 200512
Total consumption , coal , Kentucky ,2005,11,3074.12678, Kentucky 200511
Total consumption , coal , Kentucky ,2005,10,3046.77843, Kentucky 200510
Total consumption , coal , Kentucky ,2005,9,3556.01627, Kentucky 20059
Total consumption , coal , Kentucky ,2005,8,3723.36189, Kentucky 20058
Total consumption , coal , Kentucky ,2005,7,3751.95405, Kentucky 20057
Total consumption , coal , Kentucky ,2005,6,3491.71155, Kentucky 20056
Total consumption , coal , Kentucky ,2005,5,3174.017, Kentucky 20055
Total consumption , coal , Kentucky ,2005,4,3019.78358, Kentucky 20054
Total consumption , coal , Kentucky ,2005,3,3250.79623, Kentucky 20053
Total consumption , coal , Kentucky ,2005,2,2987.46064, Kentucky 20052
Total consumption , coal , Kentucky ,2005,1,3448.69577, Kentucky 20051
Total consumption , coal , Kentucky ,2004,12,3595.81427, Kentucky 200412
Total consumption , coal , Kentucky ,2004,11,2894.82572, Kentucky 200411
Total consumption , coal , Kentucky ,2004,10,3007.51079, Kentucky 200410
Total consumption , coal , Kentucky ,2004,9,3215.00457, Kentucky 20049
Total consumption , coal , Kentucky ,2004,8,3535.40632, Kentucky 20048
Total consumption , coal , Kentucky ,2004,7,3641.40368, Kentucky 20047
Total consumption , coal , Kentucky ,2004,6,3395.42794, Kentucky 20046
Total consumption , coal , Kentucky ,2004,5,3271.91977, Kentucky 20045
Total consumption , coal , Kentucky ,2004,4,2639.28232, Kentucky 20044
Total consumption , coal , Kentucky ,2004,3,3135.09579, Kentucky 20043
Total consumption , coal , Kentucky ,2004,2,3261.72431, Kentucky 20042
Total consumption , coal , Kentucky ,2004,1,3748.97651, Kentucky 20041
Total consumption , coal , Kentucky ,2003,12,3555.07, Kentucky 200312
Total consumption , coal , Kentucky ,2003,11,2863.289, Kentucky 200311
Total consumption , coal , Kentucky ,2003,10,2831.647, Kentucky 200310
Total consumption , coal , Kentucky ,2003,9,2923.189, Kentucky 20039
Total consumption , coal , Kentucky ,2003,8,3607.319, Kentucky 20038
Total consumption , coal , Kentucky ,2003,7,3535.489, Kentucky 20037
Total consumption , coal , Kentucky ,2003,6,3174.942, Kentucky 20036
Total consumption , coal , Kentucky ,2003,5,2933.58, Kentucky 20035
Total consumption , coal , Kentucky ,2003,4,2885.979, Kentucky 20034
Total consumption , coal , Kentucky ,2003,3,3107.69, Kentucky 20033
Total consumption , coal , Kentucky ,2003,2,3300.36, Kentucky 20032
Total consumption , coal , Kentucky ,2003,1,3802.493, Kentucky 20031
Total consumption , coal , Kentucky ,2002,12,3264.131, Kentucky 200212
Total consumption , coal , Kentucky ,2002,11,2610.355, Kentucky 200211
Total consumption , coal , Kentucky ,2002,10,2730.043, Kentucky 200210
Total consumption , coal , Kentucky ,2002,9,3170.836, Kentucky 20029
Total consumption , coal , Kentucky ,2002,8,3655.058, Kentucky 20028
Total consumption , coal , Kentucky ,2002,7,3738.534, Kentucky 20027
Total consumption , coal , Kentucky ,2002,6,3509.107, Kentucky 20026
Total consumption , coal , Kentucky ,2002,5,3177.436, Kentucky 20025
Total consumption , coal , Kentucky ,2002,4,2950.241, Kentucky 20024
Total consumption , coal , Kentucky ,2002,3,3390.199, Kentucky 20023
Total consumption , coal , Kentucky ,2002,2,2937.16, Kentucky 20022
Total consumption , coal , Kentucky ,2002,1,3471.795, Kentucky 20021
Total consumption , coal , Kentucky ,2001,12,3500.043, Kentucky 200112
Total consumption , coal , Kentucky ,2001,11,2799.899, Kentucky 200111
Total consumption , coal , Kentucky ,2001,10,3277.308, Kentucky 200110
Total consumption , coal , Kentucky ,2001,9,3508.224, Kentucky 20019
Total consumption , coal , Kentucky ,2001,8,3883.103, Kentucky 20018
Total consumption , coal , Kentucky ,2001,7,3881.227, Kentucky 20017
Total consumption , coal , Kentucky ,2001,6,3607.678, Kentucky 20016
Total consumption , coal , Kentucky ,2001,5,3261.697, Kentucky 20015
Total consumption , coal , Kentucky ,2001,4,3113.519, Kentucky 20014
Total consumption , coal , Kentucky ,2001,3,3562.304, Kentucky 20013
Total consumption , coal , Kentucky ,2001,2,3336.543, Kentucky 20012
Total consumption , coal , Kentucky ,2001,1,3573.725, Kentucky 20011
Total consumption , coal , Louisiana ,2017,7,938.817, Louisiana 20177
Total consumption , coal , Louisiana ,2017,6,959.529, Louisiana 20176
Total consumption , coal , Louisiana ,2017,5,865.01, Louisiana 20175
Total consumption , coal , Louisiana ,2017,4,382.736, Louisiana 20174
Total consumption , coal , Louisiana ,2017,3,390.743, Louisiana 20173
Total consumption , coal , Louisiana ,2017,2,714.691, Louisiana 20172
Total consumption , coal , Louisiana ,2017,1,958.347, Louisiana 20171
Total consumption , coal , Louisiana ,2016,12,900.443, Louisiana 201612
Total consumption , coal , Louisiana ,2016,11,392.577, Louisiana 201611
Total consumption , coal , Louisiana ,2016,10,539.537, Louisiana 201610
Total consumption , coal , Louisiana ,2016,9,695.556, Louisiana 20169
Total consumption , coal , Louisiana ,2016,8,1024.687, Louisiana 20168
Total consumption , coal , Louisiana ,2016,7,1192.014, Louisiana 20167
Total consumption , coal , Louisiana ,2016,6,924.18, Louisiana 20166
Total consumption , coal , Louisiana ,2016,5,587.995, Louisiana 20165
Total consumption , coal , Louisiana ,2016,4,390.315, Louisiana 20164
Total consumption , coal , Louisiana ,2016,3,505.274, Louisiana 20163
Total consumption , coal , Louisiana ,2016,2,651.023, Louisiana 20162
Total consumption , coal , Louisiana ,2016,1,763.534, Louisiana 20161
Total consumption , coal , Louisiana ,2015,12,674.514, Louisiana 201512
Total consumption , coal , Louisiana ,2015,11,771.115, Louisiana 201511
Total consumption , coal , Louisiana ,2015,10,702.758, Louisiana 201510
Total consumption , coal , Louisiana ,2015,9,969.025, Louisiana 20159
Total consumption , coal , Louisiana ,2015,8,1124.274, Louisiana 20158
Total consumption , coal , Louisiana ,2015,7,1093.188, Louisiana 20157
Total consumption , coal , Louisiana ,2015,6,1078.288, Louisiana 20156
Total consumption , coal , Louisiana ,2015,5,691.44, Louisiana 20155
Total consumption , coal , Louisiana ,2015,4,387.022, Louisiana 20154
Total consumption , coal , Louisiana ,2015,3,893.334, Louisiana 20153
Total consumption , coal , Louisiana ,2015,2,1050.493, Louisiana 20152
Total consumption , coal , Louisiana ,2015,1,1341.086, Louisiana 20151
Total consumption , coal , Louisiana ,2014,12,1082.747, Louisiana 201412
Total consumption , coal , Louisiana ,2014,11,872.036, Louisiana 201411
Total consumption , coal , Louisiana ,2014,10,816.581, Louisiana 201410
Total consumption , coal , Louisiana ,2014,9,1371.348, Louisiana 20149
Total consumption , coal , Louisiana ,2014,8,1442.126, Louisiana 20148
Total consumption , coal , Louisiana ,2014,7,1367.926, Louisiana 20147
Total consumption , coal , Louisiana ,2014,6,1153.387, Louisiana 20146
Total consumption , coal , Louisiana ,2014,5,755.859, Louisiana 20145
Total consumption , coal , Louisiana ,2014,4,801.068, Louisiana 20144
Total consumption , coal , Louisiana ,2014,3,868.781, Louisiana 20143
Total consumption , coal , Louisiana ,2014,2,906.135, Louisiana 20142
Total consumption , coal , Louisiana ,2014,1,1194.396, Louisiana 20141
Total consumption , coal , Louisiana ,2013,12,1087.66, Louisiana 201312
Total consumption , coal , Louisiana ,2013,11,853.268, Louisiana 201311
Total consumption , coal , Louisiana ,2013,10,797.593, Louisiana 201310
Total consumption , coal , Louisiana ,2013,9,1447.52, Louisiana 20139
Total consumption , coal , Louisiana ,2013,8,1358.278, Louisiana 20138
Total consumption , coal , Louisiana ,2013,7,1288.969, Louisiana 20137
Total consumption , coal , Louisiana ,2013,6,1322.146, Louisiana 20136
Total consumption , coal , Louisiana ,2013,5,1112.88, Louisiana 20135
Total consumption , coal , Louisiana ,2013,4,801.196, Louisiana 20134
Total consumption , coal , Louisiana ,2013,3,1287.295, Louisiana 20133
Total consumption , coal , Louisiana ,2013,2,1147.94, Louisiana 20132
Total consumption , coal , Louisiana ,2013,1,1282.716, Louisiana 20131
Total consumption , coal , Louisiana ,2012,12,1427.081, Louisiana 201212
Total consumption , coal , Louisiana ,2012,11,1380.185, Louisiana 201211
Total consumption , coal , Louisiana ,2012,10,1218.707, Louisiana 201210
Total consumption , coal , Louisiana ,2012,9,1375.461, Louisiana 20129
Total consumption , coal , Louisiana ,2012,8,1483.989, Louisiana 20128
Total consumption , coal , Louisiana ,2012,7,1621.14, Louisiana 20127
Total consumption , coal , Louisiana ,2012,6,1319.5, Louisiana 20126
Total consumption , coal , Louisiana ,2012,5,1187.463, Louisiana 20125
Total consumption , coal , Louisiana ,2012,4,504.758, Louisiana 20124
Total consumption , coal , Louisiana ,2012,3,817.017, Louisiana 20123
Total consumption , coal , Louisiana ,2012,2,1026.24, Louisiana 20122
Total consumption , coal , Louisiana ,2012,1,1384.863, Louisiana 20121
Total consumption , coal , Louisiana ,2011,12,1445.024, Louisiana 201112
Total consumption , coal , Louisiana ,2011,11,1444.802, Louisiana 201111
Total consumption , coal , Louisiana ,2011,10,1115.564, Louisiana 201110
Total consumption , coal , Louisiana ,2011,9,1475.898, Louisiana 20119
Total consumption , coal , Louisiana ,2011,8,1647.412, Louisiana 20118
Total consumption , coal , Louisiana ,2011,7,1645.646, Louisiana 20117
Total consumption , coal , Louisiana ,2011,6,1472.233, Louisiana 20116
Total consumption , coal , Louisiana ,2011,5,1205.138, Louisiana 20115
Total consumption , coal , Louisiana ,2011,4,1222.304, Louisiana 20114
Total consumption , coal , Louisiana ,2011,3,1041.606, Louisiana 20113
Total consumption , coal , Louisiana ,2011,2,1415.675, Louisiana 20112
Total consumption , coal , Louisiana ,2011,1,1581.721, Louisiana 20111
Total consumption , coal , Louisiana ,2010,12,1511.916, Louisiana 201012
Total consumption , coal , Louisiana ,2010,11,1519.571, Louisiana 201011
Total consumption , coal , Louisiana ,2010,10,1203.55, Louisiana 201010
Total consumption , coal , Louisiana ,2010,9,1422.347, Louisiana 20109
Total consumption , coal , Louisiana ,2010,8,1546.978, Louisiana 20108
Total consumption , coal , Louisiana ,2010,7,1429.593, Louisiana 20107
Total consumption , coal , Louisiana ,2010,6,1478.419, Louisiana 20106
Total consumption , coal , Louisiana ,2010,5,1118.864, Louisiana 20105
Total consumption , coal , Louisiana ,2010,4,790.519, Louisiana 20104
Total consumption , coal , Louisiana ,2010,3,1388.331, Louisiana 20103
Total consumption , coal , Louisiana ,2010,2,1351.567, Louisiana 20102
Total consumption , coal , Louisiana ,2010,1,1455.974, Louisiana 20101
Total consumption , coal , Louisiana ,2009,12,1563.405, Louisiana 200912
Total consumption , coal , Louisiana ,2009,11,1393.652, Louisiana 200911
Total consumption , coal , Louisiana ,2009,10,1180.403, Louisiana 200910
Total consumption , coal , Louisiana ,2009,9,1409.546, Louisiana 20099
Total consumption , coal , Louisiana ,2009,8,1493.579, Louisiana 20098
Total consumption , coal , Louisiana ,2009,7,1494.897, Louisiana 20097
Total consumption , coal , Louisiana ,2009,6,1436.47, Louisiana 20096
Total consumption , coal , Louisiana ,2009,5,1175.237, Louisiana 20095
Total consumption , coal , Louisiana ,2009,4,789.586, Louisiana 20094
Total consumption , coal , Louisiana ,2009,3,1068.045, Louisiana 20093
Total consumption , coal , Louisiana ,2009,2,1146.398, Louisiana 20092
Total consumption , coal , Louisiana ,2009,1,1570.432, Louisiana 20091
Total consumption , coal , Louisiana ,2008,12,1511.9, Louisiana 200812
Total consumption , coal , Louisiana ,2008,11,1210.798, Louisiana 200811
Total consumption , coal , Louisiana ,2008,10,1136.83, Louisiana 200810
Total consumption , coal , Louisiana ,2008,9,1141.408, Louisiana 20089
Total consumption , coal , Louisiana ,2008,8,1551.85, Louisiana 20088
Total consumption , coal , Louisiana ,2008,7,1560.536, Louisiana 20087
Total consumption , coal , Louisiana ,2008,6,1471.472, Louisiana 20086
Total consumption , coal , Louisiana ,2008,5,1523.583, Louisiana 20085
Total consumption , coal , Louisiana ,2008,4,1104.032, Louisiana 20084
Total consumption , coal , Louisiana ,2008,3,1246.536, Louisiana 20083
Total consumption , coal , Louisiana ,2008,2,1278.413, Louisiana 20082
Total consumption , coal , Louisiana ,2008,1,1599.659, Louisiana 20081
Total consumption , coal , Louisiana ,2007,12,1497.692, Louisiana 200712
Total consumption , coal , Louisiana ,2007,11,1270.615, Louisiana 200711
Total consumption , coal , Louisiana ,2007,10,1223.324, Louisiana 200710
Total consumption , coal , Louisiana ,2007,9,1394.469, Louisiana 20079
Total consumption , coal , Louisiana ,2007,8,1538.062, Louisiana 20078
Total consumption , coal , Louisiana ,2007,7,1576.445, Louisiana 20077
Total consumption , coal , Louisiana ,2007,6,1482.918, Louisiana 20076
Total consumption , coal , Louisiana ,2007,5,1109.547, Louisiana 20075
Total consumption , coal , Louisiana ,2007,4,841.54, Louisiana 20074
Total consumption , coal , Louisiana ,2007,3,917.482, Louisiana 20073
Total consumption , coal , Louisiana ,2007,2,1176.965, Louisiana 20072
Total consumption , coal , Louisiana ,2007,1,1423.753, Louisiana 20071
Total consumption , coal , Louisiana ,2006,12,1491.748, Louisiana 200612
Total consumption , coal , Louisiana ,2006,11,1397.179, Louisiana 200611
Total consumption , coal , Louisiana ,2006,10,1442.631, Louisiana 200610
Total consumption , coal , Louisiana ,2006,9,1360.737, Louisiana 20069
Total consumption , coal , Louisiana ,2006,8,1572.48, Louisiana 20068
Total consumption , coal , Louisiana ,2006,7,1607.336, Louisiana 20067
Total consumption , coal , Louisiana ,2006,6,1468.404, Louisiana 20066
Total consumption , coal , Louisiana ,2006,5,1337.947, Louisiana 20065
Total consumption , coal , Louisiana ,2006,4,1003.485, Louisiana 20064
Total consumption , coal , Louisiana ,2006,3,999.277, Louisiana 20063
Total consumption , coal , Louisiana ,2006,2,1187.611, Louisiana 20062
Total consumption , coal , Louisiana ,2006,1,1467.881, Louisiana 20061
Total consumption , coal , Louisiana ,2005,12,1416.657, Louisiana 200512
Total consumption , coal , Louisiana ,2005,11,1321.435, Louisiana 200511
Total consumption , coal , Louisiana ,2005,10,1272.897, Louisiana 200510
Total consumption , coal , Louisiana ,2005,9,1308.672, Louisiana 20059
Total consumption , coal , Louisiana ,2005,8,1439.645, Louisiana 20058
Total consumption , coal , Louisiana ,2005,7,1474.705, Louisiana 20057
Total consumption , coal , Louisiana ,2005,6,1360.444, Louisiana 20056
Total consumption , coal , Louisiana ,2005,5,1130.638, Louisiana 20055
Total consumption , coal , Louisiana ,2005,4,752.22, Louisiana 20054
Total consumption , coal , Louisiana ,2005,3,1442.911, Louisiana 20053
Total consumption , coal , Louisiana ,2005,2,1353.703, Louisiana 20052
Total consumption , coal , Louisiana ,2005,1,1515.791, Louisiana 20051
Total consumption , coal , Louisiana ,2004,12,1392.119, Louisiana 200412
Total consumption , coal , Louisiana ,2004,11,1251.09, Louisiana 200411
Total consumption , coal , Louisiana ,2004,10,1333.191, Louisiana 200410
Total consumption , coal , Louisiana ,2004,9,1491.546, Louisiana 20049
Total consumption , coal , Louisiana ,2004,8,1537.634, Louisiana 20048
Total consumption , coal , Louisiana ,2004,7,1486.498, Louisiana 20047
Total consumption , coal , Louisiana ,2004,6,1380.397, Louisiana 20046
Total consumption , coal , Louisiana ,2004,5,1508.391, Louisiana 20045
Total consumption , coal , Louisiana ,2004,4,1011.486, Louisiana 20044
Total consumption , coal , Louisiana ,2004,3,842.825, Louisiana 20043
Total consumption , coal , Louisiana ,2004,2,1269.072, Louisiana 20042
Total consumption , coal , Louisiana ,2004,1,1471.154, Louisiana 20041
Total consumption , coal , Louisiana ,2003,12,1505.422, Louisiana 200312
Total consumption , coal , Louisiana ,2003,11,1298.389, Louisiana 200311
Total consumption , coal , Louisiana ,2003,10,1290.656, Louisiana 200310
Total consumption , coal , Louisiana ,2003,9,1267.711, Louisiana 20039
Total consumption , coal , Louisiana ,2003,8,1497.53, Louisiana 20038
Total consumption , coal , Louisiana ,2003,7,1358.855, Louisiana 20037
Total consumption , coal , Louisiana ,2003,6,1268.495, Louisiana 20036
Total consumption , coal , Louisiana ,2003,5,1343.653, Louisiana 20035
Total consumption , coal , Louisiana ,2003,4,731.924, Louisiana 20034
Total consumption , coal , Louisiana ,2003,3,1189.195, Louisiana 20033
Total consumption , coal , Louisiana ,2003,2,1224.798, Louisiana 20032
Total consumption , coal , Louisiana ,2003,1,1485.85, Louisiana 20031
Total consumption , coal , Louisiana ,2002,12,1512.621, Louisiana 200212
Total consumption , coal , Louisiana ,2002,11,1119.13, Louisiana 200211
Total consumption , coal , Louisiana ,2002,10,1274.205, Louisiana 200210
Total consumption , coal , Louisiana ,2002,9,1474.394, Louisiana 20029
Total consumption , coal , Louisiana ,2002,8,826.54, Louisiana 20028
Total consumption , coal , Louisiana ,2002,7,1391.545, Louisiana 20027
Total consumption , coal , Louisiana ,2002,6,1321.876, Louisiana 20026
Total consumption , coal , Louisiana ,2002,5,1281.237, Louisiana 20025
Total consumption , coal , Louisiana ,2002,4,837.881, Louisiana 20024
Total consumption , coal , Louisiana ,2002,3,1094.908, Louisiana 20023
Total consumption , coal , Louisiana ,2002,2,1203.815, Louisiana 20022
Total consumption , coal , Louisiana ,2002,1,1284.417, Louisiana 20021
Total consumption , coal , Louisiana ,2001,12,1449.31, Louisiana 200112
Total consumption , coal , Louisiana ,2001,11,1120.743, Louisiana 200111
Total consumption , coal , Louisiana ,2001,10,1081.023, Louisiana 200110
Total consumption , coal , Louisiana ,2001,9,1314.753, Louisiana 20019
Total consumption , coal , Louisiana ,2001,8,1493.532, Louisiana 20018
Total consumption , coal , Louisiana ,2001,7,1550.459, Louisiana 20017
Total consumption , coal , Louisiana ,2001,6,1304.867, Louisiana 20016
Total consumption , coal , Louisiana ,2001,5,1274.051, Louisiana 20015
Total consumption , coal , Louisiana ,2001,4,991.59, Louisiana 20014
Total consumption , coal , Louisiana ,2001,3,873.527, Louisiana 20013
Total consumption , coal , Louisiana ,2001,2,945.227, Louisiana 20012
Total consumption , coal , Louisiana ,2001,1,1455.043, Louisiana 20011
Total consumption , coal , Maine ,2017,7,2.751, Maine 20177
Total consumption , coal , Maine ,2017,6,1.682, Maine 20176
Total consumption , coal , Maine ,2017,5,2.991, Maine 20175
Total consumption , coal , Maine ,2017,4,3.812, Maine 20174
Total consumption , coal , Maine ,2017,3,7.69, Maine 20173
Total consumption , coal , Maine ,2017,2,9.216, Maine 20172
Total consumption , coal , Maine ,2017,1,8.866, Maine 20171
Total consumption , coal , Maine ,2016,12,8.751, Maine 201612
Total consumption , coal , Maine ,2016,11,4.825, Maine 201611
Total consumption , coal , Maine ,2016,10,7.527, Maine 201610
Total consumption , coal , Maine ,2016,9,5.099, Maine 20169
Total consumption , coal , Maine ,2016,8,4.472, Maine 20168
Total consumption , coal , Maine ,2016,7,5.124, Maine 20167
Total consumption , coal , Maine ,2016,6,3.375, Maine 20166
Total consumption , coal , Maine ,2016,5,5.199, Maine 20165
Total consumption , coal , Maine ,2016,4,4.257, Maine 20164
Total consumption , coal , Maine ,2016,3,6.712, Maine 20163
Total consumption , coal , Maine ,2016,2,6.07, Maine 20162
Total consumption , coal , Maine ,2016,1,9.079, Maine 20161
Total consumption , coal , Maine ,2015,12,5.528, Maine 201512
Total consumption , coal , Maine ,2015,11,3.963, Maine 201511
Total consumption , coal , Maine ,2015,10,7.969, Maine 201510
Total consumption , coal , Maine ,2015,9,4.091, Maine 20159
Total consumption , coal , Maine ,2015,8,3.804, Maine 20158
Total consumption , coal , Maine ,2015,7,2.845, Maine 20157
Total consumption , coal , Maine ,2015,6,2.801, Maine 20156
Total consumption , coal , Maine ,2015,5,4.349, Maine 20155
Total consumption , coal , Maine ,2015,4,5.591, Maine 20154
Total consumption , coal , Maine ,2015,3,11.612, Maine 20153
Total consumption , coal , Maine ,2015,2,12.567, Maine 20152
Total consumption , coal , Maine ,2015,1,8.922, Maine 20151
Total consumption , coal , Maine ,2014,12,3.624, Maine 201412
Total consumption , coal , Maine ,2014,11,3.232, Maine 201411
Total consumption , coal , Maine ,2014,10,2.11, Maine 201410
Total consumption , coal , Maine ,2014,9,0.485, Maine 20149
Total consumption , coal , Maine ,2014,8,1.477, Maine 20148
Total consumption , coal , Maine ,2014,7,3.155, Maine 20147
Total consumption , coal , Maine ,2014,6,0.886, Maine 20146
Total consumption , coal , Maine ,2014,5,5.483, Maine 20145
Total consumption , coal , Maine ,2014,4,8.184, Maine 20144
Total consumption , coal , Maine ,2014,3,6.853, Maine 20143
Total consumption , coal , Maine ,2014,2,8.176, Maine 20142
Total consumption , coal , Maine ,2014,1,9.294, Maine 20141
Total consumption , coal , Maine ,2013,12,6.334, Maine 201312
Total consumption , coal , Maine ,2013,11,3.452, Maine 201311
Total consumption , coal , Maine ,2013,10,2.16, Maine 201310
Total consumption , coal , Maine ,2013,9,0.749, Maine 20139
Total consumption , coal , Maine ,2013,8,1.625, Maine 20138
Total consumption , coal , Maine ,2013,7,0.81, Maine 20137
Total consumption , coal , Maine ,2013,6,1.156, Maine 20136
Total consumption , coal , Maine ,2013,5,2.147, Maine 20135
Total consumption , coal , Maine ,2013,4,3.54, Maine 20134
Total consumption , coal , Maine ,2013,3,4.839, Maine 20133
Total consumption , coal , Maine ,2013,2,3.985, Maine 20132
Total consumption , coal , Maine ,2013,1,7.468, Maine 20131
Total consumption , coal , Maine ,2012,12,3.587, Maine 201212
Total consumption , coal , Maine ,2012,11,3.519, Maine 201211
Total consumption , coal , Maine ,2012,10,4.991, Maine 201210
Total consumption , coal , Maine ,2012,9,1.987, Maine 20129
Total consumption , coal , Maine ,2012,8,2.133, Maine 20128
Total consumption , coal , Maine ,2012,7,1.238, Maine 20127
Total consumption , coal , Maine ,2012,6,2.46, Maine 20126
Total consumption , coal , Maine ,2012,5,2.762, Maine 20125
Total consumption , coal , Maine ,2012,4,0.862, Maine 20124
Total consumption , coal , Maine ,2012,3,1.803, Maine 20123
Total consumption , coal , Maine ,2012,2,2.943, Maine 20122
Total consumption , coal , Maine ,2012,1,3.484, Maine 20121
Total consumption , coal , Maine ,2011,12,1.874, Maine 201112
Total consumption , coal , Maine ,2011,11,4.598, Maine 201111
Total consumption , coal , Maine ,2011,10,4.068, Maine 201110
Total consumption , coal , Maine ,2011,9,2.169, Maine 20119
Total consumption , coal , Maine ,2011,8,2.418, Maine 20118
Total consumption , coal , Maine ,2011,7,0.991, Maine 20117
Total consumption , coal , Maine ,2011,6,1.965, Maine 20116
Total consumption , coal , Maine ,2011,5,3.746, Maine 20115
Total consumption , coal , Maine ,2011,4,2, Maine 20114
Total consumption , coal , Maine ,2011,3,5.296, Maine 20113
Total consumption , coal , Maine ,2011,2,4.587, Maine 20112
Total consumption , coal , Maine ,2011,1,4.621, Maine 20111
Total consumption , coal , Maine ,2010,12,4.371, Maine 201012
Total consumption , coal , Maine ,2010,11,8.14, Maine 201011
Total consumption , coal , Maine ,2010,10,3.015, Maine 201010
Total consumption , coal , Maine ,2010,9,2.645, Maine 20109
Total consumption , coal , Maine ,2010,8,3.191, Maine 20108
Total consumption , coal , Maine ,2010,7,3.369, Maine 20107
